train_loss,train_accuracy,epoch,step
0.6835893988609314,0.671875,0,0
0.6894151568412781,0.6171875,0,1
0.6759669780731201,0.6875,0,2
0.682266354560852,0.6640625,0,3
0.6796051263809204,0.5625,0,4
0.6772776246070862,0.6328125,0,5
0.6821386814117432,0.65625,0,6
0.6560845375061035,0.6796875,0,7
0.6776696443557739,0.5703125,0,8
0.6738824248313904,0.6640625,0,9
0.6747695207595825,0.609375,0,10
0.6691091656684875,0.65625,0,11
0.6792506575584412,0.578125,0,12
0.6706187725067139,0.6328125,0,13
0.6672157049179077,0.65625,0,14
0.6716489791870117,0.6796875,0,15
0.6684090495109558,0.6640625,0,16
0.6624308228492737,0.6953125,0,17
0.6787970066070557,0.6640625,0,18
0.6795989274978638,0.65625,0,19
0.6571522951126099,0.6953125,0,20
0.6518074870109558,0.65625,0,21
0.6672426462173462,0.6328125,0,22
0.6663974523544312,0.609375,0,23
0.6491127610206604,0.703125,0,24
0.6685782074928284,0.6875,0,25
0.679196834564209,0.640625,0,26
0.6710559725761414,0.6328125,0,27
0.6859942674636841,0.5859375,0,28
0.6700555682182312,0.65625,0,29
0.6410459876060486,0.7421875,0,30
0.6574597954750061,0.703125,0,31
0.663969099521637,0.6640625,0,32
0.6658475399017334,0.71875,0,33
0.6540285348892212,0.7109375,0,34
0.6500252485275269,0.71875,0,35
0.6603022813796997,0.6796875,0,36
0.6714231967926025,0.7109375,1,37
0.663970410823822,0.703125,1,38
0.6510311961174011,0.6796875,1,39
0.6433809995651245,0.7109375,1,40
0.6418400406837463,0.75,1,41
0.6441079378128052,0.7109375,1,42
0.6377100944519043,0.75,1,43
0.651491105556488,0.75,1,44
0.6506702303886414,0.671875,1,45
0.6421490907669067,0.7109375,1,46
0.6334097981452942,0.765625,1,47
0.6532334089279175,0.6953125,1,48
0.6431180834770203,0.7421875,1,49
0.6395449638366699,0.7109375,1,50
0.6364339590072632,0.7890625,1,51
0.6332011222839355,0.8203125,1,52
0.6522300243377686,0.7265625,1,53
0.6293558478355408,0.765625,1,54
0.651801586151123,0.7109375,1,55
0.6329693794250488,0.7734375,1,56
0.626116156578064,0.859375,1,57
0.622589111328125,0.734375,1,58
0.6300995349884033,0.8125,1,59
0.6370749473571777,0.75,1,60
0.6522663831710815,0.7734375,1,61
0.6552615165710449,0.6875,1,62
0.6457338929176331,0.8125,1,63
0.6315433382987976,0.78125,1,64
0.6553396582603455,0.671875,1,65
0.6467785239219666,0.7421875,1,66
0.6326295733451843,0.765625,1,67
0.6469617486000061,0.7578125,1,68
0.6325985789299011,0.7734375,1,69
0.621354341506958,0.75,1,70
0.6337129473686218,0.6640625,1,71
0.648901641368866,0.734375,1,72
0.6192729473114014,0.7734375,1,73
